Data,Horário,Tensao_Fase_C,Tensao_De_Linha_CA,Corrente_Fase_C,Potencia_Ativa_Fase_C,fator_De_Potencia_Fase_C,Potencia_Reativa_Fase_C,Potencia_Aparente_Fase_C,Frequencia_Fase_C,Intervalos em Hora,C (Wh),C (kWh)
23/05/2025,00:54:00,"222,21","384,88","282,63","52614,77","0,84","34293,76","62804,26","60,18","0,05","46010,98","46,01"
23/05/2025,00:57:00,"221,50","383,65","278,14","51439,79","0,83","33902,73","61607,20","60,10","0,05","48582,97","48,58"
23/05/2025,01:00:00,"224,43","388,72","248,77","48308,42","0,87","27988,50","55830,63","59,90","0,05","50998,39","51,00"
23/05/2025,01:03:00,"222,10","384,70","240,79","46079,31","0,86","27143,04","53479,41","60,18","0,05","53302,36","53,30"
23/05/2025,01:06:00,"225,02","389,74","243,22","45627,44","0,83","30219,70","54727,45","60,11","0,05","55583,73","55,58"
23/05/2025,01:09:00,"220,71","382,27","268,19","49389,02","0,83","32625,73","59192,18","59,99","0,05","58053,18","58,05"
23/05/2025,01:12:00,"223,51","387,13","270,00","49971,95","0,83","33832,35","60347,52","60,06","0,05","60551,78","60,55"
23/05/2025,01:15:00,"223,60","387,29","236,29","45440,18","0,86","26959,67","52835,92","60,18","0,05","62823,79","62,82"
23/05/2025,01:18:00,"222,22","384,90","270,65","52084,16","0,87","30076,67","60144,54","60,00","0,05","65428,00","65,43"
23/05/2025,01:21:00,"221,95","384,42","241,77","45430,92","0,85","28556,16","53660,25","59,88","0,05","67699,54","67,70"
23/05/2025,01:24:00,"221,21","383,15","294,17","54548,97","0,84","35481,98","65073,51","59,94","0,05","70426,99","70,43"
23/05/2025,01:27:00,"222,88","386,04","247,54","46518,94","0,84","29661,64","55170,87","59,84","0,05","72752,94","72,75"
23/05/2025,01:30:00,"220,91","382,62","272,79","49076,25","0,81","34971,12","60261,58","60,13","0,05","75206,75","75,21"
23/05/2025,01:33:00,"221,84","384,23","277,40","51491,11","0,84","33697,04","61537,18","59,96","0,05","77781,31","77,78"
23/05/2025,01:36:00,"222,06","384,62","288,14","53645,64","0,84","34876,12","63985,93","60,02","0,05","80463,59","80,46"
23/05/2025,01:39:00,"222,21","384,88","251,82","48648,20","0,87","27649,37","55956,55","59,88","0,05","82896,00","82,90"
23/05/2025,01:42:00,"222,85","385,98","245,89","48352,07","0,88","25779,84","54795,28","59,99","0,05","85313,60","85,31"
23/05/2025,01:45:00,"223,42","386,97","251,14","48065,09","0,86","28950,00","56110,21","59,92","0,05","87716,86","87,72"
23/05/2025,01:48:00,"221,50","383,64","278,51","51944,01","0,84","33274,83","61687,88","60,01","0,05","90314,06","90,31"
23/05/2025,01:51:00,"221,77","384,12","272,75","52588,03","0,87","29890,62","60489,25","59,88","0,05","92943,46","92,94"
23/05/2025,01:54:00,"221,51","383,66","250,54","47502,81","0,86","28691,01","55494,97","59,99","0,05","95318,60","95,32"
23/05/2025,01:57:00,"222,57","385,50","262,62","51087,46","0,87","28397,23","58449,39","60,03","0,05","97872,97","97,87"
23/05/2025,02:00:00,"223,70","387,45","244,17","45727,57","0,84","29871,70","54619,86","60,06","0,05","100159,35","100,16"
23/05/2025,02:03:00,"222,13","384,74","272,87","52156,99","0,86","30876,49","60611,13","60,11","0,05","102767,20","102,77"
23/05/2025,02:06:00,"220,65","382,18","275,16","52337,86","0,86","30773,93","60714,79","59,95","0,05","105384,09","105,38"
23/05/2025,02:09:00,"223,30","386,77","287,63","53288,99","0,83","35855,58","64228,81","60,21","0,05","108048,54","108,05"
23/05/2025,02:12:00,"221,62","383,85","280,52","53483,21","0,86","31692,63","62168,13","59,91","0,05","110722,70","110,72"
23/05/2025,02:15:00,"222,29","385,03","254,81","47160,50","0,83","31372,83","56642,45","59,99","0,05","113080,73","113,08"
23/05/2025,02:18:00,"222,17","384,81","257,96","48407,43","0,84","30677,68","57309,68","59,94","0,05","115501,10","115,50"
23/05/2025,02:21:00,"223,05","386,34","243,59","47152,03","0,87","26997,47","54333,95","59,97","0,05","117858,70","117,86"
23/05/2025,02:24:00,"222,59","385,54","282,92","52959,25","0,84","34075,13","62974,58","60,01","0,05","120506,66","120,51"
23/05/2025,02:27:00,"223,52","387,15","299,51","56286,25","0,84","36244,09","66946,07","59,96","0,05","123320,98","123,32"
23/05/2025,02:30:00,"222,51","385,39","276,07","50601,68","0,82","34823,54","61426,45","60,02","0,05","125851,06","125,85"
23/05/2025,02:33:00,"224,55","388,93","259,86","49497,68","0,85","30899,99","58350,92","59,92","0,05","128325,94","128,33"
23/05/2025,02:36:00,"223,42","386,97","247,86","47971,07","0,87","27663,74","55376,04","60,18","0,05","130724,50","130,72"
23/05/2025,02:39:00,"222,05","384,60","243,67","45951,65","0,85","28568,16","54108,17","60,06","0,05","133022,08","133,02"
23/05/2025,02:42:00,"221,59","383,81","288,80","54806,02","0,86","33043,86","63996,85","59,96","0,05","135762,38","135,76"
23/05/2025,02:45:00,"222,24","384,93","240,85","46017,86","0,86","27338,59","53526,09","60,03","0,05","138063,27","138,06"
23/05/2025,02:48:00,"223,67","387,41","267,67","51153,74","0,85","31108,16","59870,05","60,03","0,05","140620,96","140,62"
23/05/2025,02:51:00,"222,06","384,62","241,40","46303,84","0,86","27007,61","53604,64","60,13","0,05","142936,15","142,94"
23/05/2025,02:54:00,"222,53","385,44","261,05","48369,12","0,83","32172,31","58091,56","59,90","0,05","145354,61","145,35"
23/05/2025,02:57:00,"221,47","383,60","232,90","44005,06","0,85","26906,99","51579,37","60,03","0,05","147554,86","147,55"
23/05/2025,03:00:00,"224,03","388,04","260,33","51344,64","0,88","27662,72","58322,36","60,14","0,05","150122,09","150,12"
23/05/2025,03:03:00,"221,84","384,23","270,67","50094,20","0,83","33105,11","60044,80","59,84","0,05","152626,80","152,63"
23/05/2025,03:06:00,"223,72","387,50","263,39","50922,87","0,86","29653,20","58927,51","59,91","0,05","155172,95","155,17"
23/05/2025,03:09:00,"220,55","382,01","286,09","52563,99","0,83","34906,24","63098,49","59,88","0,05","157801,15","157,80"
23/05/2025,03:12:00,"222,30","385,03","277,77","53154,18","0,86","31424,39","61748,35","59,87","0,05","160458,86","160,46"
23/05/2025,03:15:00,"222,91","386,09","266,25","50978,74","0,86","30392,72","59351,07","59,96","0,05","163007,79","163,01"
23/05/2025,03:18:00,"223,51","387,13","265,38","49706,63","0,84","32366,16","59315,40","59,94","0,05","165493,13","165,49"
23/05/2025,03:21:00,"224,17","388,28","254,88","48554,61","0,85","30118,34","57137,24","60,07","0,05","167920,86","167,92"
23/05/2025,03:24:00,"222,09","384,67","272,06","51324,94","0,85","31881,20","60420,69","60,16","0,05","170487,10","170,49"
23/05/2025,03:27:00,"221,60","383,82","257,12","49041,33","0,86","29004,06","56976,20","59,97","0,05","172939,17","172,94"
23/05/2025,03:30:00,"221,61","383,84","284,44","52021,99","0,83","35594,97","63034,04","59,87","0,05","175540,27","175,54"
23/05/2025,03:33:00,"223,05","386,33","267,46","51487,15","0,86","30130,96","59655,69","59,99","0,05","178114,63","178,11"
23/05/2025,03:36:00,"221,84","384,24","263,54","49296,25","0,84","31430,97","58463,89","60,11","0,05","180579,44","180,58"
23/05/2025,03:39:00,"222,35","385,13","246,04","45455,18","0,83","30442,86","54707,78","60,14","0,05","182852,20","182,85"
23/05/2025,03:42:00,"223,35","386,85","280,90","53005,80","0,84","33564,27","62738,95","60,01","0,05","185502,49","185,50"
23/05/2025,03:45:00,"222,38","385,18","248,27","46787,49","0,85","29311,92","55211,03","60,10","0,05","187841,86","187,84"
23/05/2025,03:48:00,"222,67","385,68","265,81","49102,27","0,83","33049,11","59188,48","60,13","0,05","190296,98","190,30"
23/05/2025,03:51:00,"223,59","387,27","256,37","49010,37","0,86","29727,57","57321,41","59,96","0,05","192747,49","192,75"
23/05/2025,03:54:00,"222,02","384,55","281,02","52808,17","0,85","33229,40","62393,08","60,18","0,05","195387,90","195,39"
23/05/2025,03:57:00,"221,24","383,20","294,50","54755,75","0,84","35315,86","65156,75","60,08","0,05","198125,69","198,13"
23/05/2025,04:00:00,"222,76","385,83","287,88","54226,12","0,85","34232,78","64127,65","60,12","0,05","200837,00","200,84"
23/05/2025,04:03:00,"223,12","386,46","256,32","48488,90","0,85","30323,88","57190,13","60,01","0,05","203261,44","203,26"
23/05/2025,04:06:00,"221,18","383,09","278,54","52768,90","0,86","31794,78","61607,34","60,27","0,05","205899,89","205,90"
23/05/2025,04:09:00,"222,97","386,19","269,85","51746,07","0,86","30698,25","60166,75","60,11","0,05","208487,19","208,49"
23/05/2025,04:12:00,"224,07","388,09","244,00","46313,65","0,85","29053,86","54672,49","59,99","0,05","210802,87","210,80"
23/05/2025,04:15:00,"222,17","384,81","264,47","49707,49","0,85","31330,78","58757,57","60,03","0,05","213288,25","213,29"
23/05/2025,04:18:00,"221,62","383,86","288,33","52669,48","0,82","36183,06","63900,61","59,89","0,05","215921,72","215,92"
23/05/2025,04:21:00,"223,15","386,50","294,47","55875,37","0,85","34579,35","65709,88","60,07","0,05","218715,49","218,72"
23/05/2025,04:24:00,"222,24","384,93","275,44","51953,03","0,85","32372,39","61213,47","60,00","0,05","221313,14","221,31"
23/05/2025,04:27:00,"222,37","385,16","272,97","51251,77","0,84","32522,87","60699,92","59,91","0,05","223875,73","223,88"
23/05/2025,04:30:00,"221,59","383,81","278,21","53464,35","0,87","30696,39","61649,86","60,04","0,05","226548,95","226,55"
23/05/2025,04:33:00,"222,88","386,05","285,91","55065,75","0,86","32072,67","63725,13","59,84","0,05","229302,23","229,30"
23/05/2025,04:36:00,"222,99","386,24","305,87","56346,78","0,83","38434,88","68207,03","59,91","0,05","232119,57","232,12"
23/05/2025,04:39:00,"223,01","386,26","260,23","49214,04","0,85","30754,58","58033,31","60,12","0,05","234580,27","234,58"
23/05/2025,04:42:00,"221,62","383,85","241,65","46481,46","0,87","26597,63","53553,34","59,99","0,05","236904,35","236,90"
23/05/2025,04:45:00,"221,17","383,08","254,55","48544,84","0,86","28512,76","56299,02","59,96","0,05","239331,59","239,33"
23/05/2025,04:48:00,"222,01","384,54","245,79","46569,34","0,85","28442,40","54568,07","59,85","0,05","241660,06","241,66"
23/05/2025,04:51:00,"221,32","383,34","267,35","51122,19","0,86","29791,46","59169,33","59,97","0,05","244216,17","244,22"
23/05/2025,04:54:00,"224,21","388,34","246,93","47883,78","0,86","27788,35","55362,89","60,06","0,05","246610,36","246,61"
23/05/2025,04:57:00,"223,22","386,64","263,10","49920,03","0,85","30938,04","58729,65","60,12","0,05","249106,36","249,11"
23/05/2025,05:00:00,"222,38","385,17","287,55","53824,64","0,84","34523,32","63944,92","59,94","0,05","251797,59","251,80"
23/05/2025,05:03:00,"222,71","385,74","261,83","49085,57","0,84","31479,80","58312,70","59,98","0,05","254251,87","254,25"
23/05/2025,05:06:00,"221,52","383,69","260,07","49962,67","0,87","28681,71","57609,97","60,05","0,05","256750,00","256,75"
23/05/2025,05:09:00,"221,95","384,43","248,13","46729,63","0,85","29145,48","55073,74","60,03","0,05","259086,48","259,09"
23/05/2025,05:12:00,"222,76","385,84","234,89","45806,27","0,88","25291,77","52324,83","60,12","0,05","261376,80","261,38"
23/05/2025,05:15:00,"223,50","387,12","255,79","48635,36","0,85","30047,55","57168,65","59,92","0,05","263808,56","263,81"
23/05/2025,05:18:00,"221,76","384,10","309,71","57183,58","0,83","38041,44","68681,24","60,06","0,05","266667,74","266,67"
23/05/2025,05:21:00,"221,08","382,93","284,36","53882,68","0,86","32388,99","62868,04","60,05","0,05","269361,88","269,36"
23/05/2025,05:24:00,"222,70","385,73","249,03","47454,90","0,86","28702,78","55460,05","59,90","0,05","271734,62","271,73"
23/05/2025,05:27:00,"222,58","385,52","242,21","45883,62","0,85","28302,59","53910,51","59,87","0,05","274028,80","274,03"
23/05/2025,05:30:00,"222,66","385,66","264,75","48605,82","0,82","33355,97","58950,37","60,10","0,05","276459,09","276,46"
23/05/2025,05:33:00,"222,58","385,52","277,72","51727,39","0,84","33843,76","61815,23","59,80","0,05","279045,46","279,05"
23/05/2025,05:36:00,"222,14","384,76","276,31","53757,55","0,88","29622,78","61379,01","60,05","0,05","281733,34","281,73"
23/05/2025,05:39:00,"222,53","385,44","260,50","49159,00","0,85","30724,78","57970,85","59,96","0,05","284191,29","284,19"
23/05/2025,05:42:00,"223,05","386,33","300,76","55264,33","0,82","38028,54","67084,39","60,11","0,05","286954,51","286,95"
23/05/2025,05:45:00,"222,52","385,42","262,73","49431,35","0,85","31215,72","58462,63","60,08","0,05","289426,08","289,43"
23/05/2025,05:48:00,"225,89","391,25","297,87","56111,29","0,83","37130,23","67283,96","59,90","0,05","292231,64","292,23"
23/05/2025,05:51:00,"223,65","387,38","256,14","48246,86","0,84","30886,04","57286,19","60,13","0,05","294643,98","294,64"
23/05/2025,05:54:00,"221,14","383,02","268,96","50202,42","0,84","31892,38","59476,10","60,03","0,05","297154,10","297,15"
23/05/2025,05:57:00,"222,13","384,74","257,18","48477,74","0,85","30223,45","57127,47","59,96","0,05","299577,99","299,58"
23/05/2025,06:00:00,"222,68","385,70","270,40","51185,52","0,85","31712,70","60213,40","59,99","0,05","302137,27","302,14"
23/05/2025,06:03:00,"222,65","385,64","271,41","50605,67","0,84","33028,96","60430,51","60,05","0,05","304667,55","304,67"
23/05/2025,06:06:00,"221,48","383,61","292,77","55042,17","0,85","34278,13","64843,13","59,98","0,05","307419,66","307,42"
23/05/2025,06:09:00,"223,46","387,05","275,31","51826,44","0,84","33150,80","61521,99","60,00","0,05","310010,98","310,01"
23/05/2025,06:12:00,"222,73","385,78","235,70","46328,74","0,88","24692,03","52498,08","59,84","0,05","312327,42","312,33"
23/05/2025,06:15:00,"222,51","385,39","268,91","48924,05","0,82","34445,40","59833,50","60,09","0,05","314773,62","314,77"
23/05/2025,06:18:00,"222,74","385,80","277,38","52959,47","0,86","31819,48","61783,37","59,98","0,05","317421,59","317,42"
23/05/2025,06:21:00,"221,80","384,17","291,72","54917,60","0,85","34213,89","64703,42","60,00","0,05","320167,47","320,17"
23/05/2025,06:24:00,"222,59","385,54","282,03","53277,86","0,85","33202,63","62776,95","59,91","0,05","322831,37","322,83"
23/05/2025,06:27:00,"222,40","385,21","277,08","54024,00","0,88","29645,87","61623,61","60,09","0,05","325532,57","325,53"
23/05/2025,06:30:00,"223,02","386,28","251,56","46999,44","0,84","30638,19","56103,89","59,93","0,05","327882,54","327,88"
23/05/2025,06:33:00,"221,06","382,89","251,66","48044,96","0,86","28046,47","55632,03","60,03","0,05","330284,79","330,28"
23/05/2025,06:36:00,"222,29","385,02","259,22","50113,01","0,87","28443,14","57622,27","60,06","0,05","332790,44","332,79"
23/05/2025,06:39:00,"224,04","388,05","250,66","49258,41","0,88","26971,63","56159,24","60,19","0,05","335253,36","335,25"
23/05/2025,06:42:00,"224,35","388,58","302,62","55966,96","0,82","38432,60","67892,31","59,97","0,05","338051,71","338,05"
23/05/2025,06:45:00,"221,29","383,29","288,78","53810,16","0,84","34473,43","63905,79","60,01","0,05","340742,21","340,74"
23/05/2025,06:48:00,"221,47","383,59","237,14","44533,27","0,85","27836,93","52517,68","59,81","0,05","342968,88","342,97"
23/05/2025,06:51:00,"222,86","386,00","243,65","45936,63","0,85","28951,40","54298,78","60,18","0,05","345265,71","345,27"
23/05/2025,06:54:00,"221,75","384,08","262,43","49196,67","0,85","31082,15","58192,90","60,18","0,05","347725,54","347,73"
23/05/2025,06:57:00,"220,66","382,19","258,10","48974,13","0,86","29069,86","56951,93","60,08","0,05","350174,25","350,17"
23/05/2025,07:00:00,"222,08","384,66","276,41","53816,15","0,88","29528,84","61385,10","60,21","0,05","352865,06","352,87"
23/05/2025,07:03:00,"224,66","389,12","302,09","57572,69","0,85","35935,96","67867,57","59,90","0,05","355743,69","355,74"
23/05/2025,07:06:00,"221,08","382,93","282,29","51469,88","0,82","35297,19","62410,26","60,01","0,05","358317,19","358,32"
23/05/2025,07:09:00,"222,72","385,76","289,86","54039,16","0,84","35317,12","64556,41","59,98","0,05","361019,14","361,02"
23/05/2025,07:12:00,"220,74","382,34","287,22","54095,48","0,85","33066,60","63401,27","60,00","0,05","363723,92","363,72"
23/05/2025,07:15:00,"223,72","387,49","288,83","53794,93","0,83","35795,48","64615,87","59,98","0,05","366413,66","366,41"
23/05/2025,07:18:00,"224,12","388,19","251,15","48884,37","0,87","27904,19","56287,88","60,02","0,05","368857,88","368,86"
23/05/2025,07:21:00,"222,61","385,58","251,16","47186,68","0,84","29991,61","55911,35","59,95","0,05","371217,22","371,22"
23/05/2025,07:24:00,"224,43","388,73","272,47","51626,29","0,84","32776,49","61152,05","60,02","0,05","373798,53","373,80"
23/05/2025,07:27:00,"223,03","386,30","261,35","50768,57","0,87","28640,00","58289,77","59,89","0,05","376336,96","376,34"
23/05/2025,07:30:00,"220,72","382,30","255,41","47727,91","0,85","30001,57","56374,17","60,17","0,05","378723,35","378,72"
23/05/2025,07:33:00,"222,43","385,26","266,63","51529,56","0,87","29357,26","59305,51","59,96","0,05","381299,83","381,30"
23/05/2025,07:36:00,"223,53","387,16","244,79","47707,26","0,87","26796,71","54717,88","59,98","0,05","383685,20","383,69"
23/05/2025,07:39:00,"221,11","382,97","272,01","51634,27","0,86","30842,70","60144,58","60,07","0,05","386266,91","386,27"
23/05/2025,07:42:00,"222,86","386,00","286,70","52834,66","0,83","35929,71","63894,01","59,98","0,05","388908,64","388,91"
23/05/2025,07:45:00,"222,33","385,09","245,24","45381,46","0,83","30224,77","54525,35","59,85","0,05","391177,71","391,18"
23/05/2025,07:48:00,"224,07","388,09","240,61","46729,45","0,87","26885,58","53911,74","60,05","0,05","393514,19","393,51"
23/05/2025,07:51:00,"222,99","386,23","266,28","52159,97","0,88","28371,35","59376,73","59,79","0,05","396122,19","396,12"
23/05/2025,07:54:00,"221,78","384,13","259,79","48707,47","0,85","30776,74","57616,19","60,12","0,05","398557,56","398,56"
23/05/2025,07:57:00,"221,53","383,70","272,71","53226,10","0,88","28580,16","60413,94","60,05","0,05","401218,86","401,22"
23/05/2025,08:00:00,"223,28","386,73","444,31","88204,88","0,89","45404,39","99205,14","60,04","0,05","405629,11","405,63"
23/05/2025,08:03:00,"224,50","388,85","529,27","106390,36","0,90","52911,22","118821,32","59,86","0,05","410948,63","410,95"
23/05/2025,08:06:00,"224,10","388,16","494,10","99621,79","0,90","48335,44","110728,57","60,06","0,05","415929,72","415,93"
23/05/2025,08:09:00,"221,88","384,31","489,82","96474,39","0,89","50042,76","108681,12","59,96","0,05","420753,44","420,75"
23/05/2025,08:12:00,"223,17","386,54","448,07","89838,79","0,90","43912,68","99996,66","59,92","0,05","425245,38","425,25"
23/05/2025,08:15:00,"222,64","385,62","516,67","105679,93","0,92","45434,28","115032,70","59,94","0,05","430529,37","430,53"
23/05/2025,08:18:00,"223,55","387,20","441,56","89637,63","0,91","41337,66","98710,21","59,86","0,05","435011,25","435,01"
23/05/2025,08:21:00,"220,92","382,65","485,61","95204,85","0,89","49452,68","107282,48","60,04","0,05","439771,50","439,77"
23/05/2025,08:24:00,"222,77","385,84","547,48","107817,45","0,88","57005,89","121960,14","59,83","0,05","445162,37","445,16"
23/05/2025,08:27:00,"222,66","385,65","490,61","100835,11","0,92","42012,04","109237,05","60,18","0,05","450204,12","450,20"
23/05/2025,08:30:00,"223,53","387,17","518,16","107273,50","0,93","43677,65","115824,62","59,80","0,05","455567,80","455,57"
23/05/2025,08:33:00,"222,96","386,17","511,41","106806,10","0,94","39922,94","114023,61","60,13","0,05","460908,10","460,91"
23/05/2025,08:36:00,"221,06","382,89","518,54","101803,51","0,89","52687,79","114629,66","59,86","0,05","465998,28","466,00"
23/05/2025,08:39:00,"221,39","383,47","485,81","96511,22","0,90","47473,87","107555,49","60,13","0,05","470823,84","470,82"
23/05/2025,08:42:00,"222,14","384,76","519,55","101459,44","0,88","55009,66","115412,66","59,92","0,05","475896,81","475,90"
23/05/2025,08:45:00,"224,00","387,98","480,56","99107,36","0,92","42015,46","107645,56","60,03","0,05","480852,18","480,85"
23/05/2025,08:48:00,"222,35","385,12","449,77","90647,37","0,91","42239,27","100005,50","59,93","0,05","485384,55","485,38"
23/05/2025,08:51:00,"221,78","384,13","506,65","100120,66","0,89","51008,53","112365,55","59,92","0,05","490390,58","490,39"
23/05/2025,08:54:00,"223,23","386,65","489,56","99560,84","0,91","45065,33","109285,15","60,08","0,05","495368,62","495,37"
23/05/2025,08:57:00,"223,37","386,88","439,24","88876,28","0,91","41559,52","98113,13","60,08","0,05","499812,44","499,81"
23/05/2025,09:00:00,"222,42","385,25","542,29","105350,14","0,87","58735,53","120617,22","59,86","0,05","505079,94","505,08"
23/05/2025,09:03:00,"223,27","386,71","478,38","94812,65","0,89","49177,06","106807,41","59,97","0,05","509820,58","509,82"
23/05/2025,09:06:00,"223,03","386,29","511,92","102499,76","0,90","50286,70","114170,72","60,00","0,05","514945,57","514,95"
23/05/2025,09:09:00,"223,61","387,30","485,99","94555,48","0,87","53562,85","108672,53","59,95","0,05","519673,34","519,67"
23/05/2025,09:12:00,"223,38","386,90","494,30","95968,74","0,87","54600,49","110413,82","59,98","0,05","524471,78","524,47"
23/05/2025,09:15:00,"224,03","388,03","499,58","102850,49","0,92","44133,07","111919,39","60,07","0,05","529614,30","529,61"
23/05/2025,09:18:00,"221,67","383,94","532,30","106949,70","0,91","49843,63","117994,18","60,01","0,05","534961,79","534,96"
23/05/2025,09:21:00,"222,61","385,57","494,47","100191,78","0,91","45585,62","110074,71","59,98","0,05","539971,37","539,97"
23/05/2025,09:24:00,"221,42","383,51","500,43","99486,33","0,90","48788,39","110805,40","60,15","0,05","544945,69","544,95"
23/05/2025,09:27:00,"220,27","381,52","467,70","91703,08","0,89","46946,95","103021,71","59,84","0,05","549530,85","549,53"
23/05/2025,09:30:00,"222,92","386,11","547,90","111319,30","0,91","50255,84","122137,78","59,92","0,05","555096,81","555,10"
23/05/2025,09:33:00,"222,08","384,65","478,79","95302,90","0,90","47150,24","106328,68","60,18","0,05","559861,96","559,86"
23/05/2025,09:36:00,"221,21","383,14","440,46","88234,25","0,91","41324,49","97432,01","60,14","0,05","564273,67","564,27"
23/05/2025,09:39:00,"223,33","386,82","531,49","105949,84","0,89","53514,63","118697,86","60,09","0,05","569571,16","569,57"
23/05/2025,09:42:00,"222,00","384,52","467,24","95613,39","0,92","40219,39","103728,11","59,74","0,05","574351,83","574,35"
23/05/2025,09:45:00,"223,05","386,34","515,89","102561,83","0,89","52175,83","115070,61","59,99","0,05","579479,92","579,48"
23/05/2025,09:48:00,"222,02","384,55","464,99","93506,91","0,91","43753,41","103237,12","60,02","0,05","584155,27","584,16"
23/05/2025,09:51:00,"223,74","387,53","512,36","102161,35","0,89","52004,13","114635,81","60,05","0,05","589263,33","589,26"
23/05/2025,09:54:00,"222,83","385,96","510,86","100913,08","0,89","52678,63","113835,35","59,95","0,05","594308,99","594,31"
23/05/2025,09:57:00,"222,94","386,15","446,09","91377,63","0,92","39254,61","99452,48","60,12","0,05","598877,87","598,88"
23/05/2025,10:00:00,"221,93","384,40","527,09","103995,22","0,89","53562,42","116978,37","60,08","0,05","604077,63","604,08"
23/05/2025,10:03:00,"222,58","385,52","487,85","99023,18","0,91","44559,40","108586,97","59,92","0,05","609028,79","609,03"
23/05/2025,10:06:00,"222,92","386,11","440,36","88172,80","0,90","43148,85","98164,49","59,86","0,05","613437,43","613,44"
23/05/2025,10:09:00,"221,69","383,98","508,54","101867,72","0,90","48299,43","112738,05","60,02","0,05","618530,82","618,53"
23/05/2025,10:12:00,"223,29","386,75","509,46","101335,91","0,89","51686,64","113756,21","60,00","0,05","623597,61","623,60"
23/05/2025,10:15:00,"222,94","386,15","514,38","102710,56","0,90","51006,24","114678,23","60,04","0,05","628733,14","628,73"
23/05/2025,10:18:00,"222,36","385,13","448,53","91047,90","0,91","40708,21","99734,04","60,04","0,05","633285,53","633,29"
23/05/2025,10:21:00,"222,73","385,78","454,73","93242,16","0,92","39547,01","101282,11","60,00","0,05","637947,64","637,95"
23/05/2025,10:24:00,"224,91","389,56","509,66","100240,23","0,87","55602,93","114628,92","60,04","0,05","642959,65","642,96"
23/05/2025,10:27:00,"222,74","385,80","453,50","89308,18","0,88","47198,34","101013,04","60,16","0,05","647425,06","647,43"
23/05/2025,10:30:00,"223,52","387,14","513,04","102922,61","0,90","50566,26","114673,49","59,96","0,05","652571,19","652,57"
23/05/2025,10:33:00,"221,40","383,48","506,62","99032,97","0,88","52667,14","112166,65","59,89","0,05","657522,84","657,52"
23/05/2025,10:36:00,"222,95","386,16","499,36","100618,36","0,90","47652,16","111331,86","59,98","0,05","662553,76","662,55"
23/05/2025,10:39:00,"221,02","382,82","494,02","100270,61","0,92","43215,55","109186,90","59,98","0,05","667567,29","667,57"
23/05/2025,10:42:00,"221,77","384,11","506,95","101214,35","0,90","48936,63","112423,93","59,99","0,05","672628,01","672,63"
23/05/2025,10:45:00,"223,29","386,75","555,58","108069,62","0,87","60915,57","124055,42","60,21","0,05","678031,49","678,03"
23/05/2025,10:48:00,"223,38","386,91","477,97","96627,27","0,90","45422,79","106771,06","60,09","0,05","682862,85","682,86"
